Date,precipitation,temperature
1895-10,2.14,57.3
1896-10,3.33,58.7
1897-10,1.13,60.4
1898-10,0.26,61
1899-10,0.76,62.9
1900-10,2.46,64.4
1901-10,1.01,64.7
1902-10,1.47,62.7
1903-10,0.66,60.9
1904-10,1.49,61.6
1905-10,1.22,59
1906-10,1.5,55.7
1907-10,4.35,61.2
1908-10,0.65,59.7
1909-10,1.28,61.2
1910-10,0.78,61.7
1911-10,1.2,60.5
1912-10,2.13,61.5
1913-10,1.77,58.7
1914-10,5.99,59
1915-10,1.55,59.9
1916-10,2.94,58.9
1917-10,0.1,58.3
1918-10,2.53,61.6
1919-10,5.97,60.9
1920-10,1.49,61.6
1921-10,0.04,62.1
1922-10,0.55,60
1923-10,6.92,55.3
1924-10,0.85,61.5
1925-10,1.27,56.8
1926-10,6.25,62.6
1927-10,0.45,62.4
1928-10,2.32,63.5
1929-10,3.15,61.8
1930-10,3.91,60.1
1931-10,2.68,64.7
1932-10,1.09,58.8
1933-10,0.42,64.7
1934-10,0.37,66.1
1935-10,1.04,63.2
1936-10,1.29,58
1937-10,2.19,62
1938-10,1.26,63.9
1939-10,1.23,63.4
1940-10,1.04,63.7
1941-10,6.12,62.2
1942-10,3.41,59.2
1943-10,0.22,59.9
1944-10,0.8,61.9
1945-10,2.09,58
1946-10,4.45,62.8
1947-10,0.31,66.7
1948-10,1.06,60.2
1949-10,1.5,59.2
1950-10,0.24,64
1951-10,0.93,63.4
1952-10,0,59.8
1953-10,3.82,61.6
1954-10,2.01,62.8
1955-10,4,61.7
1956-10,1.08,64.2
1957-10,4,58.5
1958-10,1.01,59.9
1959-10,2.23,58.8
1960-10,5.7,63
1961-10,0.68,61.6
1962-10,2.44,63.3
1963-10,0.51,66.1
1964-10,0.32,62.1
1965-10,1.04,62.8
1966-10,0.07,60
1967-10,0.37,61.6
1968-10,0.78,62.8
1969-10,6.07,56.9
1970-10,1.46,56.8
1971-10,1.56,62
1972-10,2.29,60.3
1973-10,1.01,64
1974-10,4,60.5
1975-10,0.09,62
1976-10,1.66,54.2
1977-10,1.02,63.4
1978-10,0.95,61.9
1979-10,0.63,64.7
1980-10,0.32,60.5
1981-10,4.48,60.7
1982-10,0.26,60.5
1983-10,7.22,63.7
1984-10,2.09,58.3
1985-10,4.49,60.5
1986-10,4.48,59.3
1987-10,0.37,62.1
1988-10,0.01,62.1
1989-10,0,64
1990-10,0.43,61
1991-10,0.83,62.9
1992-10,0,63.9
1993-10,1.09,59.6
1994-10,0.61,63
1995-10,0.48,61.7
1996-10,0.52,61.2
1997-10,1.13,61.2
1998-10,2.45,65
1999-10,0.74,60.9
2000-10,2.81,62.4
2001-10,0.03,61.6
2002-10,5.36,59.1
2003-10,0.41,65.3
2004-10,1.62,62.7
2005-10,2.16,62.2
2006-10,1.78,61.4
2007-10,0.12,64.5
2008-10,3.99,60.9
2009-10,0.95,58
2010-10,2.09,62.4
2011-10,1.39,62.1
2012-10,0.19,61
2013-10,1.16,61.7
2014-10,0.34,64
2015-10,4.22,64.1
2016-10,1.2,66.9
2017-10,0.47,61.9
2018-10,4.72,59.8
2019-10,0.49,58.9
