Date,precipitation
1895-10,2.14
1896-10,3.33
1897-10,1.13
1898-10,0.26
1899-10,0.76
1900-10,2.46
1901-10,1.01
1902-10,1.47
1903-10,0.66
1904-10,1.49
1905-10,1.22
1906-10,1.5
1907-10,4.35
1908-10,0.65
1909-10,1.28
1910-10,0.78
1911-10,1.2
1912-10,2.13
1913-10,1.77
1914-10,5.99
1915-10,1.55
1916-10,2.94
1917-10,0.1
1918-10,2.53
1919-10,5.97
1920-10,1.49
1921-10,0.04
1922-10,0.55
1923-10,6.92
1924-10,0.85
1925-10,1.27
1926-10,6.25
1927-10,0.45
1928-10,2.32
1929-10,3.15
1930-10,3.91
1931-10,2.68
1932-10,1.09
1933-10,0.42
1934-10,0.37
1935-10,1.04
1936-10,1.29
1937-10,2.19
1938-10,1.26
1939-10,1.23
1940-10,1.04
1941-10,6.12
1942-10,3.41
1943-10,0.22
1944-10,0.8
1945-10,2.09
1946-10,4.45
1947-10,0.31
1948-10,1.06
1949-10,1.5
1950-10,0.24
1951-10,0.93
1952-10,0
1953-10,3.82
1954-10,2.01
1955-10,4
1956-10,1.08
1957-10,4
1958-10,1.01
1959-10,2.23
1960-10,5.7
1961-10,0.68
1962-10,2.44
1963-10,0.51
1964-10,0.32
1965-10,1.04
1966-10,0.07
1967-10,0.37
1968-10,0.78
1969-10,6.07
1970-10,1.46
1971-10,1.56
1972-10,2.29
1973-10,1.01
1974-10,4
1975-10,0.09
1976-10,1.66
1977-10,1.02
1978-10,0.95
1979-10,0.63
1980-10,0.32
1981-10,4.48
1982-10,0.26
1983-10,7.22
1984-10,2.09
1985-10,4.49
1986-10,4.48
1987-10,0.37
1988-10,0.01
1989-10,0
1990-10,0.43
1991-10,0.83
1992-10,0
1993-10,1.09
1994-10,0.61
1995-10,0.48
1996-10,0.52
1997-10,1.13
1998-10,2.45
1999-10,0.74
2000-10,2.81
2001-10,0.03
2002-10,5.36
2003-10,0.41
2004-10,1.62
2005-10,2.16
2006-10,1.78
2007-10,0.12
2008-10,3.99
2009-10,0.95
2010-10,2.09
2011-10,1.39
2012-10,0.19
2013-10,1.16
2014-10,0.34
2015-10,4.22
2016-10,1.2
2017-10,0.47
2018-10,4.72
2019-10,0.49
