Movie,Director,Year,Budget_million$,Gross_million$
Gone with the Wind,Victor Fleming,1939,3.9,3706
Avatar,James Cameron,2009,237,3257
Titanic,James Cameron,1997,200,3081
Star Wars,George Lucas,1977,11,3043
Avengers: Endgame,Joe & Anthony Russo,2019,356,2798
The Sound of Music,Robert Wise,1965,8.2,2549
E.T. the Extra-Terrestrial,Steven Spielberg,1982,10.5,2489
The Ten Commandments,Cecil B. DeMille,1956,13,2356
Doctor Zhivago,David Lean,1965,11,2233
Star Wars: The Force Awakens,J.J. Abrams,2015,306,2202
